,_time,seq_nr,test_number_x,time_latency,ue_id,bandwidth_required,bitrate,jitter,lost_percentage,path_loss,test_number_y,transfer,ue_nr_x,DRB.PacketSuccessRateUlgNBUu,DRB.RlcPacketDropRateDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotDl,RRU.PrbTotUl,collectStartTime,test_number,ue_nr_y
1601,2024-04-19 10:22:31+00:00,1132,1,106.3,3,10M,0.0,4.06,0.0,10.0,1,0.0,2,100,0,2,11656,2,11684,51,19,1,63,2024-04-19 10:22:31,1,1
1607,2024-04-19 10:22:35+00:00,1136,1,147.67,3,10M,0.0,4.06,0.0,10.0,1,0.0,2,100,0,2,2,2,2,51,49,1,5,2024-04-19 10:22:35,1,1
1612,2024-04-19 10:22:38+00:00,1139,1,169.0,3,10M,0.0,4.06,0.0,10.0,1,0.0,2,100,0,2,2,2,2,51,49,1,5,2024-04-19 10:22:38,1,1
21,2024-04-19 10:24:29+00:00,22,2,986.17,1,10M,2.03,7.4,0.7,10.0,2,0.25,2,100,0,0,11489,0,11526,51,5,1,90,2024-04-19 10:24:29,2,1
28,2024-04-19 10:24:34+00:00,27,2,1089.5,1,10M,2.56,5.0,0.75,10.0,2,0.31,2,100,0,0,11453,0,11492,51,5,1,90,2024-04-19 10:24:34,2,1
47,2024-04-19 10:24:47+00:00,35,2,1220.67,3,10M,2.34,9.05,0.74,10.0,2,0.29,2,100,0,0,11489,0,11526,51,5,1,90,2024-04-19 10:24:47,2,1
58,2024-04-19 10:24:56+00:00,46,2,7041.0,2,10M,88.91,67.68,0.75,10.0,2,0.1,2,100,0,0,11453,0,11492,51,5,1,90,2024-04-19 10:24:56,2,1
64,2024-04-19 10:25:01+00:00,49,2,1144.0,3,10M,2.56,5.17,0.74,10.0,2,0.31,2,100,0,1,11454,1,11491,51,5,1,90,2024-04-19 10:25:01,2,1
77,2024-04-19 10:25:10+00:00,60,2,1008.5,2,10M,2.75,5.46,0.75,10.0,2,0.34,2,100,0,0,11488,0,11526,51,5,1,90,2024-04-19 10:25:10,2,1
83,2024-04-19 10:25:14+00:00,67,2,1042.5,1,10M,2.87,7.69,0.72,10.0,2,0.35,2,100,0,1,11454,1,11491,51,5,1,90,2024-04-19 10:25:14,2,1
89,2024-04-19 10:25:18+00:00,68,2,1247.0,2,10M,2.34,6.36,0.73,10.0,2,0.29,2,100,0,0,11454,0,11492,51,5,1,90,2024-04-19 10:25:18,2,1
97,2024-04-19 10:25:24+00:00,71,2,1294.75,3,10M,2.18,10.42,0.74,10.0,2,0.27,2,100,0,1,11490,1,11526,51,5,1,90,2024-04-19 10:25:24,2,1
115,2024-04-19 10:25:36+00:00,88,2,1266.0,1,10M,2.49,3.97,0.75,10.0,2,0.3,1,100,0,1,11490,1,11526,51,5,1,90,2024-04-19 10:25:36,2,1
