,_time,seq_nr,test_number,time_latency,ue_id
225,2024-04-19 10:11:42+00:00,493,1,1209.0,2
226,2024-04-19 10:11:44+00:00,495,1,1433.0,2
227,2024-04-19 10:11:45+00:00,496,1,986.0,3
228,2024-04-19 10:11:47+00:00,498,1,1200.0,3
229,2024-04-19 10:11:48+00:00,501,1,1166.0,1
230,2024-04-19 10:11:49+00:00,500,1,1318.0,2
231,2024-04-19 10:11:50+00:00,501,1,1467.0,2
232,2024-04-19 10:11:53+00:00,503,1,1694.0,3
233,2024-04-19 10:11:55+00:00,506,1,1484.0,2
234,2024-04-19 10:11:56+00:00,507,1,1210.0,2
235,2024-04-19 10:12:01+00:00,512,1,1110.0,2
236,2024-04-19 10:12:04+00:00,515,1,1347.0,2
237,2024-04-19 10:12:06+00:00,517,1,1161.0,2
238,2024-04-19 10:12:08+00:00,518,1,1091.0,3
239,2024-04-19 10:12:10+00:00,520,1,1505.0,2
240,2024-04-19 10:12:12+00:00,523,1,1137.0,2
241,2024-04-19 10:12:13+00:00,523,1,1152.0,3
242,2024-04-19 10:12:14+00:00,525,1,1227.0,2
243,2024-04-19 10:12:17+00:00,527,1,1263.0,3
244,2024-04-19 10:12:19+00:00,531,1,1210.0,1
245,2024-04-19 10:12:20+00:00,530,1,1321.0,3
246,2024-04-19 10:12:22+00:00,533,1,1107.0,2
247,2024-04-19 10:12:23+00:00,535,1,1305.0,1
248,2024-04-19 10:12:24+00:00,534,1,1516.0,2
249,2024-04-19 10:12:25+00:00,536,1,932.0,2
250,2024-04-19 10:12:26+00:00,538,1,1023.0,1
251,2024-04-19 10:12:34+00:00,544,1,1032.0,3
252,2024-04-19 10:12:36+00:00,546,1,863.0,3
253,2024-04-19 10:12:37+00:00,547,1,976.0,3
254,2024-04-19 10:12:41+00:00,550,1,1495.0,3
255,2024-04-19 10:12:42+00:00,552,1,1136.0,3
256,2024-04-19 10:12:43+00:00,553,1,1350.0,3
257,2024-04-19 10:12:45+00:00,555,1,1250.0,3
258,2024-04-19 10:12:46+00:00,557,1,1356.0,1
259,2024-04-19 10:12:47+00:00,558,1,1397.0,1
260,2024-04-19 10:12:48+00:00,558,1,1048.0,3
261,2024-04-19 10:12:49+00:00,559,1,1229.0,3
262,2024-04-19 10:12:50+00:00,560,1,1576.0,2
263,2024-04-19 10:12:53+00:00,562,1,1371.0,3
264,2024-04-19 10:12:54+00:00,564,1,1128.0,2
265,2024-04-19 10:12:56+00:00,566,1,1020.0,3
266,2024-04-19 10:12:57+00:00,568,1,1326.0,1
267,2024-04-19 10:12:58+00:00,567,1,1697.0,2
268,2024-04-19 10:12:59+00:00,569,1,1100.0,3
269,2024-04-19 10:13:00+00:00,571,1,1173.0,1
270,2024-04-19 10:13:03+00:00,574,1,1590.0,1
271,2024-04-19 10:13:06+00:00,576,1,1049.0,2
272,2024-04-19 10:13:13+00:00,583,1,1111.0,2
273,2024-04-19 10:13:18+00:00,589,1,1277.0,1
274,2024-04-19 10:13:19+00:00,590,1,985.0,1
275,2024-04-19 10:13:21+00:00,590,1,1549.0,3
276,2024-04-19 10:13:22+00:00,591,1,1605.0,2
277,2024-04-19 10:13:23+00:00,592,1,1452.0,3
278,2024-04-19 10:13:26+00:00,597,1,1605.0,1
279,2024-04-19 10:13:27+00:00,596,1,1458.0,2
280,2024-04-19 10:13:28+00:00,597,1,1252.0,2
281,2024-04-19 10:13:29+00:00,598,1,975.0,3
282,2024-04-19 10:13:33+00:00,602,1,1302.0,3
283,2024-04-19 10:13:36+00:00,607,1,1123.0,1
284,2024-04-19 10:13:37+00:00,608,1,1023.0,1
285,2024-04-19 10:13:38+00:00,607,1,1111.0,2
286,2024-04-19 10:13:39+00:00,608,1,961.0,2
287,2024-04-19 10:13:40+00:00,609,1,1373.0,3
288,2024-04-19 10:13:42+00:00,611,1,1589.0,2
289,2024-04-19 10:13:45+00:00,615,1,1489.0,1
290,2024-04-19 10:13:46+00:00,615,1,1570.0,2
291,2024-04-19 10:13:49+00:00,617,1,1798.0,3
292,2024-04-19 10:13:50+00:00,619,1,1037.0,3
293,2024-04-19 10:13:51+00:00,622,1,910.0,1
294,2024-04-19 10:13:55+00:00,623,1,1755.0,3
295,2024-04-19 10:13:59+00:00,627,1,1570.0,3
296,2024-04-19 10:14:01+00:00,631,1,1308.0,1
297,2024-04-19 10:14:05+00:00,632,1,2043.0,3
298,2024-04-19 10:14:06+00:00,634,1,1222.0,3
299,2024-04-19 10:14:08+00:00,638,1,1513.0,1
300,2024-04-19 10:14:10+00:00,638,1,1548.0,3
301,2024-04-19 10:14:12+00:00,640,1,1863.0,2
302,2024-04-19 10:14:14+00:00,644,1,1671.0,1
303,2024-04-19 10:14:17+00:00,645,1,1701.0,2
304,2024-04-19 10:14:19+00:00,647,1,1170.0,3
305,2024-04-19 10:14:20+00:00,650,1,1333.0,1
306,2024-04-19 10:14:21+00:00,651,1,1374.0,1
307,2024-04-19 10:14:23+00:00,651,1,1082.0,2
308,2024-04-19 10:14:24+00:00,654,1,1228.0,1
309,2024-04-19 10:14:25+00:00,653,1,1164.0,2
310,2024-04-19 10:14:29+00:00,659,1,1424.0,1
311,2024-04-19 10:14:33+00:00,661,1,1285.0,2
312,2024-04-19 10:14:34+00:00,663,1,1572.0,1
313,2024-04-19 10:14:35+00:00,665,1,1080.0,1
314,2024-04-19 10:14:36+00:00,666,1,1199.0,1
315,2024-04-19 10:14:39+00:00,667,1,1073.0,3
316,2024-04-19 10:14:40+00:00,670,1,1176.0,1
317,2024-04-19 10:14:42+00:00,672,1,1339.0,1
318,2024-04-19 10:14:44+00:00,672,1,1176.0,3
319,2024-04-19 10:14:45+00:00,675,1,1181.0,1
320,2024-04-19 10:14:50+00:00,678,1,1061.0,3
321,2024-04-19 10:14:52+00:00,680,1,1416.0,2
322,2024-04-19 10:14:53+00:00,681,1,1173.0,2
323,2024-04-19 10:14:54+00:00,681,1,1156.0,3
324,2024-04-19 10:14:55+00:00,683,1,863.0,2
325,2024-04-19 10:15:00+00:00,687,1,1502.0,3
326,2024-04-19 10:15:01+00:00,688,1,1656.0,2
327,2024-04-19 10:15:02+00:00,689,1,1265.0,3
328,2024-04-19 10:15:03+00:00,692,1,1141.0,1
329,2024-04-19 10:15:04+00:00,691,1,1233.0,3
