,_time,DRB.PacketSuccessRateUlgNBUu,DRB.RlcPacketDropRateDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl
186,2024-03-28 11:45:18+00:00,100,0,2,34374,2,34485
187,2024-03-28 11:45:22+00:00,100,0,2,34303,2,34411
188,2024-03-28 11:45:26+00:00,100,0,0,34301,0,34416
189,2024-03-28 11:45:30+00:00,100,0,2,34374,2,34485
190,2024-03-28 11:45:34+00:00,100,0,2,34385,2,34485
191,2024-03-28 11:45:38+00:00,100,0,0,34337,0,34446
192,2024-03-28 11:45:42+00:00,100,0,1,34302,1,34416
193,2024-03-28 11:45:46+00:00,100,0,0,34407,0,34520
194,2024-03-28 11:45:50+00:00,100,0,2,34374,2,34485
195,2024-03-28 11:45:54+00:00,100,0,2,34173,2,34272
196,2024-03-28 11:45:58+00:00,100,0,2,34338,2,34450
197,2024-03-28 11:46:02+00:00,100,0,2,34575,2,34693
198,2024-03-28 11:46:06+00:00,100,0,2,34385,2,34485
199,2024-03-28 11:46:10+00:00,100,0,2,34338,2,34446
200,2024-03-28 11:46:14+00:00,100,0,1,34373,1,34485
201,2024-03-28 11:46:18+00:00,100,0,2,34374,2,34485
202,2024-03-28 11:46:22+00:00,100,0,2,34374,2,34485
203,2024-03-28 11:46:26+00:00,100,0,0,34194,0,34307
204,2024-03-28 11:46:30+00:00,100,0,2,34445,2,34554
205,2024-03-28 11:46:34+00:00,100,0,2,34374,2,34485
206,2024-03-28 11:46:38+00:00,100,0,0,34384,0,34485
207,2024-03-28 11:46:42+00:00,100,0,2,34303,2,34411
208,2024-03-28 11:46:46+00:00,100,0,2,34374,2,34485
209,2024-03-28 11:46:50+00:00,100,0,0,34371,0,34485
210,2024-03-28 11:46:54+00:00,100,0,0,34384,0,34485
211,2024-03-28 11:46:58+00:00,100,0,2,34303,2,34411
212,2024-03-28 11:47:02+00:00,100,0,2,34374,2,34485
213,2024-03-28 11:47:06+00:00,100,0,2,34409,2,34520
214,2024-03-28 11:47:10+00:00,100,0,2,34338,2,34450
215,2024-03-28 11:47:14+00:00,100,0,1,34444,1,34550
216,2024-03-28 11:47:18+00:00,100,0,2,34374,2,34485
217,2024-03-28 11:47:22+00:00,100,0,2,34374,2,34485
218,2024-03-28 11:47:26+00:00,100,0,2,34339,2,34450
219,2024-03-28 11:47:30+00:00,100,0,2,34303,2,34411
220,2024-03-28 11:47:34+00:00,100,0,2,34410,2,34520
221,2024-03-28 11:47:38+00:00,100,0,2,34374,2,34485
222,2024-03-28 11:47:42+00:00,100,0,2,34314,2,34416
223,2024-03-28 11:47:46+00:00,100,0,2,34291,2,34411
224,2024-03-28 11:47:50+00:00,100,0,2,34421,2,34520
225,2024-03-28 11:47:54+00:00,100,0,2,34374,2,34485
226,2024-03-28 11:47:58+00:00,100,0,1,34053,1,34169
227,2024-03-28 11:48:02+00:00,100,0,2,32906,2,33009
228,2024-03-28 11:48:06+00:00,100,0,2,33522,2,33629
229,2024-03-28 11:48:10+00:00,100,0,2,33037,2,33144
230,2024-03-28 11:48:14+00:00,100,0,2,34244,2,34346
231,2024-03-28 11:48:18+00:00,100,0,1,34538,1,34654
232,2024-03-28 11:48:22+00:00,100,0,2,34374,2,34485
233,2024-03-28 11:48:26+00:00,100,0,2,34314,2,34416
234,2024-03-28 11:48:30+00:00,100,0,2,34374,2,34485
235,2024-03-28 11:48:34+00:00,100,0,2,34339,2,34446
236,2024-03-28 11:48:38+00:00,100,0,2,34374,2,34485
237,2024-03-28 11:48:42+00:00,100,0,2,34030,2,34138
238,2024-03-28 11:48:46+00:00,100,0,2,34681,2,34798
239,2024-03-28 11:48:50+00:00,100,0,1,34337,1,34446
240,2024-03-28 11:48:54+00:00,100,0,2,34350,2,34450
241,2024-03-28 11:48:58+00:00,100,0,2,34374,2,34485
242,2024-03-28 11:49:02+00:00,100,0,0,34372,0,34485
243,2024-03-28 11:49:06+00:00,100,0,1,34337,1,34446
244,2024-03-28 11:49:10+00:00,100,0,2,34303,2,34416
245,2024-03-28 11:49:14+00:00,100,0,2,34374,2,34485
246,2024-03-28 11:49:18+00:00,100,0,1,34385,1,34485
247,2024-03-28 11:49:22+00:00,100,0,1,34337,1,34446
248,2024-03-28 11:49:26+00:00,100,0,0,34124,0,34242
249,2024-03-28 11:49:30+00:00,100,0,2,34622,2,34728
250,2024-03-28 11:49:34+00:00,100,0,0,34372,0,34485
251,2024-03-28 11:49:38+00:00,100,0,2,34338,2,34446
252,2024-03-28 11:49:42+00:00,100,0,2,34314,2,34416
253,2024-03-28 11:49:46+00:00,100,0,2,34374,2,34485
254,2024-03-28 11:49:50+00:00,100,0,0,34372,0,34485
255,2024-03-28 11:49:54+00:00,100,0,2,34268,2,34376
256,2024-03-28 11:49:58+00:00,100,0,1,34373,1,34485
257,2024-03-28 11:50:02+00:00,100,0,0,34312,0,34416
258,2024-03-28 11:50:06+00:00,100,0,2,34232,2,34346
259,2024-03-28 11:50:10+00:00,100,0,1,34574,1,34689
260,2024-03-28 11:50:14+00:00,100,0,2,34385,2,34485
261,2024-03-28 11:50:18+00:00,100,0,1,34373,1,34485
262,2024-03-28 11:50:22+00:00,100,0,2,34374,2,34485
263,2024-03-28 11:50:26+00:00,100,0,0,34266,0,34376
264,2024-03-28 11:50:30+00:00,100,0,2,34409,2,34520
265,2024-03-28 11:50:34+00:00,100,0,2,34303,2,34416
266,2024-03-28 11:50:38+00:00,100,0,2,34385,2,34485
267,2024-03-28 11:50:42+00:00,100,0,2,34303,2,34411
268,2024-03-28 11:50:46+00:00,100,0,0,34372,0,34485
269,2024-03-28 11:50:50+00:00,100,0,1,34373,1,34485
270,2024-03-28 11:50:54+00:00,100,0,2,34279,2,34381
271,2024-03-28 11:50:58+00:00,100,0,2,34398,2,34515
272,2024-03-28 11:51:02+00:00,100,0,2,33948,2,34049
273,2024-03-28 11:51:06+00:00,100,0,2,34374,2,34485
274,2024-03-28 11:51:10+00:00,100,0,2,34303,2,34416
275,2024-03-28 11:51:14+00:00,100,0,0,34336,0,34446
276,2024-03-28 11:51:18+00:00,100,0,2,34374,2,34485
277,2024-03-28 11:51:22+00:00,100,0,2,34374,2,34485
278,2024-03-28 11:51:26+00:00,100,0,2,34350,2,34450
279,2024-03-28 11:51:30+00:00,100,0,2,34326,2,34446
280,2024-03-28 11:51:34+00:00,100,0,2,34138,2,34242
281,2024-03-28 11:51:38+00:00,100,0,2,34587,2,34693
282,2024-03-28 11:51:42+00:00,100,0,2,34374,2,34485
283,2024-03-28 11:51:46+00:00,100,0,2,34197,2,34300
