,bandwidth_required,bitrate,jitter,lost_percentage,path_loss,transfer,ue_nr,DRB.PacketSuccessRateUlgNBUu,DRB.RlcPacketDropRateDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl,time_latency
2667,10000000.0,8.4,2.423,0.17333333333333334,0.0,1.0170000000000001,1,100.0,0.0,2.0,34374.0,2.0,34485.0,392.6666666666667
2671,10000000.0,8.173333333333334,2.457666666666667,0.14633333333333334,0.0,0.9843333333333334,1,100.0,0.0,2.0,34339.0,2.0,34450.0,423.6666666666667
2680,10000000.0,8.34125,2.069,0.1525,0.0,1.006125,1,100.0,0.0,2.0,34409.0,2.0,34520.0,376.2857142857143
2683,10000000.0,8.41,1.6035,0.139,0.0,1.0,1,100.0,0.0,2.0,34374.0,2.0,34485.0,321.0
2687,10000000.0,8.436666666666667,1.3146666666666667,0.14933333333333335,5.726666768391927,1.016,1,100.0,0.0,2.0,34303.0,2.0,34416.0,372.6666666666667
2691,10000000.0,8.450000000000001,1.7836666666666667,0.17,8.59000015258789,1.0150000000000001,1,100.0,0.0,2.0,34374.0,2.0,34480.0,342.6666666666667
2695,10000000.0,8.433333333333332,1.7183333333333335,0.16,8.59000015258789,1.014,1,100.0,0.0,2.0,34374.0,2.0,34485.0,427.5
2699,10000000.0,8.426666666666668,1.7803333333333333,0.16333333333333333,8.59000015258789,1.0116666666666667,1,100.0,0.0,2.0,34338.0,2.0,34450.0,379.5
2703,10000000.0,7.956666666666666,1.8676666666666668,0.19666666666666668,10.989999771118164,0.9626666666666667,1,100.0,0.0,1.0,34314.0,1.0,34416.0,386.0
2707,10000000.0,8.4,2.7900000000000005,0.14533333333333331,10.989999771118164,1.0093333333333334,1,100.0,0.0,2.0,34374.0,2.0,34480.0,397.5
2715,10000000.0,8.297142857142857,1.9922857142857142,0.15285714285714286,10.989999771118164,1.002142857142857,1,100.0,0.0,2.0,34303.0,2.0,34416.0,399.2
2719,10000000.0,8.403333333333334,3.483,0.17666666666666667,2.5999999046325684,1.018,1,100.0,0.0,2.0,34374.0,2.0,34485.0,380.0
2723,10000000.0,8.4,2.276666666666667,0.154,2.5999999046325684,1.0096666666666667,1,100.0,0.0,2.0,34374.0,2.0,34480.0,424.3333333333333
2731,10000000.0,8.411428571428571,2.1220000000000003,0.1562857142857143,2.817142759050642,1.0104285714285715,1,100.0,0.0,2.0,34409.0,2.0,34520.0,411.6
2735,10000000.0,8.403333333333334,1.6573333333333335,0.16333333333333333,4.119999885559082,1.01,1,100.0,0.0,2.0,34339.0,2.0,34450.0,371.0
2739,10000000.0,8.296666666666667,1.891333333333333,0.16,4.119999885559082,0.9969999999999999,1,100.0,0.0,2.0,34374.0,2.0,34480.0,428.0
2743,10000000.0,8.63,1.8926666666666667,0.17,4.119999885559082,1.0439999999999998,1,100.0,0.0,2.0,34374.0,2.0,34485.0,349.0
2747,10000000.0,8.383333333333333,2.497,0.1566666666666667,6.079999923706055,1.0066666666666666,1,100.0,0.0,1.0,34337.0,1.0,34450.0,388.0
2751,10000000.0,8.376666666666667,2.0683333333333334,0.14733333333333332,7.059999942779541,1.006,1,100.0,0.0,1.0,34101.0,1.0,34207.0,431.0
2759,10000000.0,8.382857142857143,1.9891428571428569,0.15614285714285714,7.059999942779541,1.0117142857142858,1,100.0,0.0,2.0,34374.0,2.0,34485.0,315.5
2763,10000000.0,8.393333333333333,2.004,0.14766666666666667,0.0,1.0163333333333335,1,100.0,0.0,2.0,34338.0,2.0,34450.0,365.0
2771,10000000.0,8.614285714285714,2.307285714285714,0.13999999999999999,0.0,1.037142857142857,1,100.0,0.0,2.0,34303.0,2.0,34411.0,382.0
2775,10000000.0,7.690000000000001,1.6906666666666668,0.125,0.0,0.9223333333333333,1,100.0,0.0,2.0,34445.0,2.0,34554.0,247.5
2779,10000000.0,8.229999999999999,2.5076666666666667,0.13566666666666669,0.0,0.996,1,100.0,0.0,2.0,34173.0,2.0,34277.0,392.0
2787,10000000.0,8.372857142857143,1.8552857142857146,0.15285714285714286,0.0,1.013,1,100.0,0.0,2.0,34339.0,2.0,34446.0,365.5
2791,10000000.0,8.110000000000001,2.031,0.18333333333333335,1.7633333206176758,0.9823333333333334,1,100.0,0.0,2.0,34374.0,2.0,34485.0,382.5
2799,10000000.0,8.425714285714285,1.9578571428571432,0.15942857142857145,5.289999961853027,1.015,1,100.0,0.0,2.0,34350.0,2.0,34450.0,374.0
2811,10000000.0,8.408181818181818,1.6299090909090908,0.1499090909090909,4.788181738419966,1.0119090909090909,1,100.0,0.0,2.0,34374.0,2.0,34485.0,388.25
2815,10000000.0,8.556666666666667,2.6119999999999997,0.15666666666666665,4.369999885559082,1.0279999999999998,1,100.0,0.0,2.0,34338.0,2.0,34450.0,432.5
2819,10000000.0,8.193333333333333,1.9096666666666666,0.14,4.369999885559082,0.9913333333333334,1,100.0,0.0,2.0,34374.0,2.0,34480.0,364.3333333333333
2823,10000000.0,8.41,1.4896666666666667,0.16333333333333333,10.140000343322754,1.0173333333333332,1,100.0,0.0,2.0,34338.0,2.0,34450.0,420.0
2831,10000000.0,8.282857142857143,1.568,0.16085714285714284,10.140000343322754,0.999,1,100.0,0.0,2.0,34303.0,2.0,34416.0,431.5
2839,10000000.0,8.435714285714285,1.457285714285714,0.146,10.79714298248291,1.0112857142857143,1,100.0,0.0,2.0,34374.0,2.0,34485.0,387.5
2843,10000000.0,8.416666666666666,1.9933333333333334,0.16266666666666668,11.289999961853027,1.012,1,100.0,0.0,2.0,34374.0,2.0,34485.0,397.6666666666667
2847,10000000.0,8.31,1.917,0.17333333333333334,11.289999961853027,1.0083333333333335,1,100.0,0.0,2.0,34243.0,2.0,34346.0,450.0
2851,10000000.0,8.393333333333333,1.602,0.15966666666666668,7.526666641235352,1.0183333333333333,1,100.0,0.0,2.0,34410.0,2.0,34515.0,431.6666666666667
2855,10000000.0,8.4,1.6199999999999999,0.10666666666666667,0.0,1.0096666666666667,1,100.0,0.0,2.0,34445.0,2.0,34555.0,328.5
2859,10000000.0,8.726666666666667,1.5823333333333334,0.18000000000000002,0.0,1.046,1,100.0,0.0,2.0,34374.0,2.0,34485.0,365.0
2863,10000000.0,8.43,2.513666666666667,0.16,0.0,1.0096666666666667,1,100.0,0.0,2.0,34338.0,2.0,34446.0,392.0
2867,10000000.0,8.193333333333333,2.473333333333333,0.16666666666666666,6.893333435058594,0.9926666666666666,1,100.0,0.0,2.0,34232.0,2.0,34346.0,324.0
2871,10000000.0,8.436666666666666,1.8389999999999997,0.15666666666666665,10.34000015258789,1.023,1,100.0,0.0,2.0,34374.0,2.0,34485.0,370.0
2875,10000000.0,8.376666666666667,2.181,0.17,10.34000015258789,1.0123333333333333,1,100.0,0.0,2.0,34445.0,2.0,34554.0,346.6666666666667
2879,10000000.0,8.236666666666666,1.7946666666666669,0.1466666666666667,10.34000015258789,0.999,1,100.0,0.0,1.0,34101.0,1.0,34207.0,406.5
2883,10000000.0,8.343333333333334,2.469333333333333,0.15666666666666665,9.550000190734863,1.0090000000000001,1,100.0,0.0,3.0,34611.0,3.0,34723.0,426.0
2899,10000000.0,8.393333333333333,1.969466666666667,0.15600000000000003,7.003333473205567,1.0138666666666667,1,100.0,0.0,2.0,34374.0,2.0,34480.0,367.5
2908,10000000.0,8.32,1.9395,0.16025,0.0,0.999875,1,100.0,0.0,2.0,34374.0,2.0,34485.0,397.8333333333333
2911,10000000.0,8.25,3.0999999999999996,0.1035,3.6700000762939453,1.0065,1,100.0,0.0,2.0,34303.0,2.0,34411.0,345.0
2915,10000000.0,8.443333333333333,2.159333333333333,0.16333333333333336,7.340000152587891,1.0126666666666668,1,100.0,0.0,2.0,34374.0,2.0,34485.0,390.0
2919,10000000.0,8.410000000000002,1.6186666666666667,0.18333333333333335,7.340000152587891,1.0033333333333332,1,100.0,0.0,2.0,34374.0,2.0,34485.0,420.6666666666667
2923,10000000.0,8.45,1.461,0.15666666666666665,7.340000152587891,1.0033333333333332,1,100.0,0.0,2.0,34409.0,2.0,34520.0,391.5
2927,10000000.0,8.406666666666666,1.5023333333333333,0.1566666666666667,9.21999994913737,1.0183333333333333,1,100.0,0.0,2.0,34232.0,2.0,34342.0,365.5
2931,10000000.0,8.316666666666665,1.8766666666666667,0.15333333333333335,10.15999984741211,1.0056666666666665,1,100.0,0.0,2.0,34315.0,2.0,34416.0,462.0
2935,10000000.0,8.413333333333332,1.859,0.16333333333333333,10.15999984741211,1.011,1,100.0,0.0,2.0,34481.0,2.0,34589.0,365.6666666666667
