,_time,bandwidth_required,bitrate,jitter,lost_percentage,path_loss,test_number,transfer,ue_nr
169,2024-04-17 14:35:13+00:00,10M,2.06,6.848,0.8,10.0,2,0.252,2
170,2024-04-17 14:35:14+00:00,10M,2.57,5.729,0.81,10.0,2,0.314,2
171,2024-04-17 14:35:15+00:00,10M,2.21,15.273,0.74,10.0,2,0.27,2
172,2024-04-17 14:35:16+00:00,10M,2.28,3.764,0.76,10.0,2,0.279,2
173,2024-04-17 14:35:17+00:00,10M,2.66,7.324,0.79,10.0,2,0.325,2
174,2024-04-17 14:35:18+00:00,10M,2.61,4.358,0.71,10.0,2,0.318,2
175,2024-04-17 14:35:19+00:00,10M,2.2,7.005,0.75,10.0,2,0.269,2
176,2024-04-17 14:35:20+00:00,10M,2.03,7.037,0.73,10.0,2,0.247,3
177,2024-04-17 14:43:30+00:00,10M,7.24,1.749,0.0,10.0,3,0.884,1
178,2024-04-17 14:43:31+00:00,10M,7.45,2.099,0.0,10.0,3,0.909,1
179,2024-04-17 14:43:32+00:00,10M,6.64,1.862,0.18,10.0,3,0.81,1
180,2024-04-17 14:43:33+00:00,10M,5.93,2.393,0.48,10.0,3,0.724,1
181,2024-04-17 14:43:34+00:00,10M,5.36,3.103,0.39,10.0,3,0.655,1
182,2024-04-17 14:43:35+00:00,10M,5.03,1.568,0.51,10.0,3,0.614,1
183,2024-04-17 14:43:36+00:00,10M,6.67,2.363,0.4,10.0,3,0.814,1
184,2024-04-17 14:43:37+00:00,10M,6.93,3.875,0.33,10.0,3,0.85,1
185,2024-04-17 14:43:38+00:00,10M,5.41,2.391,0.24,10.0,3,0.658,1
186,2024-04-17 14:43:39+00:00,10M,5.69,1.405,0.46,10.0,3,0.694,1
187,2024-04-17 14:43:40+00:00,10M,7.17,1.445,0.4,10.0,3,0.877,1
188,2024-04-17 14:43:41+00:00,10M,6.56,3.862,0.21,10.0,3,0.799,1
189,2024-04-17 14:43:42+00:00,10M,7.03,1.318,0.39,10.0,3,0.858,1
190,2024-04-17 14:43:43+00:00,10M,7.29,4.238,0.23,10.0,3,0.889,1
191,2024-04-17 14:43:44+00:00,10M,8.67,1.907,0.19,10.0,3,1.03,1
192,2024-04-17 14:43:45+00:00,10M,7.45,1.563,0.2,10.0,3,0.909,1
193,2024-04-17 14:43:46+00:00,10M,5.58,6.574,0.28,10.0,3,0.682,1
194,2024-04-17 14:43:47+00:00,10M,7.36,2.23,0.44,10.0,3,0.898,1
195,2024-04-17 14:43:48+00:00,10M,4.56,3.905,0.2,10.0,3,0.557,1
196,2024-04-17 14:43:49+00:00,10M,5.58,4.603,0.59,10.0,3,0.682,1
197,2024-04-17 14:43:50+00:00,10M,6.96,2.376,0.32,10.0,3,0.85,1
198,2024-04-17 14:43:51+00:00,10M,5.2,1.497,0.42,10.0,3,0.635,1
199,2024-04-17 14:43:52+00:00,10M,6.94,2.965,0.37,10.0,3,0.847,1
200,2024-04-17 14:43:53+00:00,10M,869.0,14.027,0.0,10.0,3,0.106,2
201,2024-04-17 14:43:54+00:00,10M,1.7,3.831,0.0,10.0,3,0.208,2
202,2024-04-17 14:43:55+00:00,10M,3.39,2.836,0.81,10.0,3,0.414,2
203,2024-04-17 14:43:56+00:00,10M,3.04,2.555,0.66,10.0,3,0.37,2
204,2024-04-17 14:43:57+00:00,10M,2.4,3.753,0.71,10.0,3,0.293,2
205,2024-04-17 14:43:58+00:00,10M,1.9,6.767,0.7,10.0,3,0.232,2
206,2024-04-17 14:43:59+00:00,10M,1.86,5.947,0.79,10.0,3,0.228,2
207,2024-04-17 14:44:00+00:00,10M,2.78,5.432,0.81,10.0,3,0.339,2
208,2024-04-17 14:44:01+00:00,10M,2.98,5.462,0.72,10.0,3,0.363,2
209,2024-04-17 14:44:02+00:00,10M,3.66,3.969,0.74,10.0,3,0.447,2
210,2024-04-17 14:44:03+00:00,10M,3.17,3.942,0.57,10.0,3,0.387,2
211,2024-04-17 14:44:04+00:00,10M,2.07,10.738,0.64,10.0,3,0.253,2
212,2024-04-17 14:44:05+00:00,10M,2.85,9.243,0.78,10.0,3,0.348,2
213,2024-04-17 14:44:06+00:00,10M,3.85,3.882,0.71,10.0,3,0.469,2
214,2024-04-17 14:44:07+00:00,10M,2.75,3.56,0.59,10.0,3,0.335,2
