_time,seq_nr,time_latency,ue_id
2024-04-02 15:20:50+00:00, 579, 427, ue01
2024-04-02 15:20:51+00:00, 580, 354, ue01
2024-04-02 15:20:52+00:00, 581, 314, ue01
2024-04-02 15:20:53+00:00, 582, 306, ue01
2024-04-02 15:20:54+00:00, 583, 339, ue01
2024-04-02 15:20:56+00:00, 585, 379, ue01
2024-04-02 15:20:57+00:00, 586, 368, ue01
2024-04-02 15:20:58+00:00, 587, 401, ue01
2024-04-02 15:20:59+00:00, 588, 394, ue01
2024-04-02 15:21:00+00:00, 589, 311, ue01
2024-04-02 15:21:01+00:00, 590, 413, ue01
2024-04-02 15:21:02+00:00, 591, 424, ue01
2024-04-02 15:21:03+00:00, 592, 488, ue01
2024-04-02 15:21:04+00:00, 593, 427, ue01
2024-04-02 15:21:05+00:00, 594, 396, ue01
2024-04-02 15:21:06+00:00, 595, 430, ue01
2024-04-02 15:21:07+00:00, 596, 370, ue01
2024-04-02 15:21:08+00:00, 597, 350, ue01
2024-04-02 15:21:09+00:00, 598, 298, ue01
2024-04-02 15:21:10+00:00, 599, 224, ue01
2024-04-02 15:21:11+00:00, 600, 525, ue01
2024-04-02 15:21:12+00:00, 601, 393, ue01
2024-04-02 15:21:13+00:00, 602, 373, ue01
2024-04-02 15:21:14+00:00, 603, 373, ue01
2024-04-02 15:21:16+00:00, 605, 248, ue01
2024-04-02 15:21:17+00:00, 606, 462, ue01
2024-04-02 15:21:18+00:00, 607, 203, ue01
2024-04-02 15:21:19+00:00, 608, 462, ue01
2024-04-02 15:21:20+00:00, 609, 334, ue01
2024-04-02 15:21:21+00:00, 610, 377, ue01
2024-04-02 15:21:22+00:00, 611, 442, ue01
2024-04-02 15:21:23+00:00, 612, 448, ue01
2024-04-02 15:21:24+00:00, 613, 414, ue01
2024-04-02 15:21:25+00:00, 614, 413, ue01
2024-04-02 15:21:26+00:00, 615, 296, ue01
2024-04-02 15:21:27+00:00, 616, 414, ue01
2024-04-02 15:21:29+00:00, 618, 365, ue01
2024-04-02 15:21:30+00:00, 619, 370, ue01
2024-04-02 15:21:31+00:00, 620, 385, ue01
2024-04-02 15:21:32+00:00, 621, 433, ue01
2024-04-02 15:21:33+00:00, 622, 377, ue01
2024-04-02 15:21:34+00:00, 623, 414, ue01
2024-04-02 15:21:35+00:00, 624, 482, ue01
2024-04-02 15:21:36+00:00, 625, 342, ue01
2024-04-02 15:21:37+00:00, 626, 430, ue01
2024-04-02 15:21:39+00:00, 628, 427, ue01
2024-04-02 15:21:40+00:00, 629, 466, ue01
2024-04-02 15:21:41+00:00, 630, 317, ue01
2024-04-02 15:21:42+00:00, 631, 463, ue01
2024-04-02 15:21:43+00:00, 632, 397, ue01
2024-04-02 15:21:44+00:00, 633, 292, ue01
2024-04-02 15:21:45+00:00, 634, 389, ue01
2024-04-02 15:21:46+00:00, 635, 337, ue01
2024-04-02 15:21:47+00:00, 636, 301, ue01
2024-04-02 15:21:48+00:00, 637, 396, ue01
2024-04-02 15:21:49+00:00, 638, 368, ue01
2024-04-02 15:21:51+00:00, 640, 412, ue01
2024-04-02 15:21:52+00:00, 641, 433, ue01
2024-04-02 15:21:53+00:00, 642, 285, ue01
2024-04-02 15:21:55+00:00, 644, 302, ue01
2024-04-02 15:21:56+00:00, 645, 377, ue01
2024-04-02 15:21:58+00:00, 647, 348, ue01
2024-04-02 15:22:00+00:00, 649, 517, ue01
2024-04-02 15:22:02+00:00, 651, 441, ue01
2024-04-02 15:22:03+00:00, 652, 349, ue01
2024-04-02 15:22:04+00:00, 653, 282, ue01
2024-04-02 15:22:05+00:00, 654, 421, ue01
2024-04-02 15:22:06+00:00, 655, 336, ue01
2024-04-02 15:22:08+00:00, 657, 424, ue01
2024-04-02 15:22:09+00:00, 658, 389, ue01
2024-04-02 15:22:10+00:00, 659, 382, ue01
2024-04-02 15:22:11+00:00, 660, 356, ue01
2024-04-02 15:22:12+00:00, 661, 369, ue01
2024-04-02 15:22:14+00:00, 663, 377, ue01
2024-04-02 15:22:15+00:00, 664, 389, ue01
2024-04-02 15:22:16+00:00, 665, 410, ue01
2024-04-02 15:22:18+00:00, 667, 383, ue01
2024-04-02 15:22:19+00:00, 668, 410, ue01
2024-04-02 15:22:20+00:00, 669, 314, ue01
2024-04-02 15:22:21+00:00, 670, 327, ue01
2024-04-02 15:22:23+00:00, 672, 353, ue01
2024-04-02 15:22:24+00:00, 673, 233, ue01
2024-04-02 15:22:25+00:00, 674, 384, ue01
2024-04-02 15:22:32+00:00, 681, 382, ue01
2024-04-02 15:22:33+00:00, 682, 389, ue01
2024-04-02 15:22:34+00:00, 683, 364, ue01
2024-04-02 15:22:35+00:00, 684, 334, ue01
2024-04-02 15:22:36+00:00, 685, 418, ue01
2024-04-02 15:22:37+00:00, 686, 377, ue01
2024-04-02 15:22:40+00:00, 689, 426, ue01
2024-04-02 15:22:43+00:00, 692, 329, ue01
2024-04-02 15:22:45+00:00, 694, 393, ue01
2024-04-02 15:22:46+00:00, 695, 389, ue01
2024-04-02 15:22:48+00:00, 697, 325, ue01
2024-04-02 15:22:50+00:00, 699, 393, ue01
2024-04-02 15:22:52+00:00, 701, 385, ue01
2024-04-02 15:22:53+00:00, 702, 376, ue01
2024-04-02 15:22:54+00:00, 703, 391, ue01
2024-04-02 15:22:56+00:00, 705, 386, ue01
