,_time,CARR.WBCQIDist,DRB.AirIfDelayUl/s,DRB.PdcpSduVolumeUL_Filter,DRB.RlcDelayUl,DRB.UEThpUl,RRC.ConnEstabSucc,RRC.ConnMean,RRU.PrbAvailUl,RRU.PrbTotUl,SM.PDUSessionSetupFail,SM.PDUSessionSetupReq,TB.ErrTotalNbrUl,TB.TotNbrUl,session
3517,2024-03-28 13:32:51+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
3518,2024-03-28 13:32:52+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
3519,2024-03-28 13:32:54+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
3520,2024-03-28 13:32:55+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
3521,2024-03-28 13:32:56+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
3522,2024-03-28 13:32:57+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
3523,2024-03-28 13:32:58+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
3524,2024-03-28 13:32:59+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
3525,2024-03-28 13:33:00+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
3526,2024-03-28 13:33:01+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
3527,2024-03-28 13:33:02+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
3528,2024-03-28 13:33:03+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
3529,2024-03-28 13:33:04+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
3530,2024-03-28 13:33:05+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
3531,2024-03-28 13:33:06+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
3532,2024-03-28 13:33:07+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
3533,2024-03-28 13:33:08+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
3534,2024-03-28 13:33:09+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
3535,2024-03-28 13:33:10+00:00,27300,114,20,0,1000,100,0,0,0,0,0,100,0,117
3536,2024-03-28 13:33:11+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
